	7						204			0				32002			19		0.0		0.0		0.0		0.67	  0.27	   0.91 	1.3			-			0.0		
	7						204			0				32002			20		0.0		0.0		0.0		0.67	  0.27	   0.91 	1.3			-			0.0		
	7						204			1				32386			19		0.0		0.0		0.0		0.67	  0.27	   0.91 	0.5			4			1.0		
	8						204			0				32002			26		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			0				32002			27		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			0				32002			35		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			0				32002			36		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			0				32002			17		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			0				32002			18		0.0		0.0		0.0		0.67	  0.27	   0.91    1.3			-			0.0		
	8						204			1				32386			18		0.0		0.0		0.0		0.67	  0.27	   0.91    0.5			4			1.0		
	9						204			0				32002			3		0.0		0.0		0.0		0.67	  0.27	   0.91     1.3			-			0.0		
	9						204			0				32002			4		0.0		0.0		0.0		0.67	  0.27	   0.91     1.3			-			0.0		
	9						204			1				32386			4		0.0		0.0		0.0		0.67	  0.27	   0.91     0.5			4			1.0		
	9						204			0				32002			10		0.0		0.0		0.0		0.67	  0.27	   0.91     1.3			-			0.0		
	9						204			0				32002			11		0.0		0.0		0.0		0.67	  0.27	   0.91     1.3			-			0.0		
	9						204			1				32386			11		0.0		0.0		0.0		0.67	  0.27	   0.91     0.5			4			1.0		
	10						204			1				32386			28		0.0		0.0		0.0		0.67	  0.27	   0.91      0.5			4			1.0		
	10						204			0				32002			28		0.0		0.0		0.0		0.67	  0.27	   0.91      1.3			-			0.0		
	10						204			0				32002			37		0.0		0.0		0.0		0.67	  0.27	   0.91      1.3			-			0.0		
	10						204			1				32386			37		0.0		0.0		0.0		0.67	  0.27	   0.91      0.5			4			1.0		
	11						204			1				32386			5		0.0		0.0		0.0		0.67	  0.27	   0.91      0.5			4			1.0		
	11						204			0				32002			5		0.0		0.0		0.0		0.67	  0.27	   0.91      1.3			-			0.0		
	11						204			0				32002			12		0.0		0.0		0.0		0.67	  0.27	   0.91      1.3			-			0.0		
	11						204			1				32386			12		0.0		0.0		0.0		0.67	  0.27	   0.91      0.5			4			1.0		
